RELATÓRIO DE ERROS DE IMPORTAÇÃO
Data/Hora: 04/06/2026 18:37:41
----------------------------------------

- Linha 4137: Todos os campos básicos são obrigatórios (Nome, Nascimento, Sexo, Raça, CPF).
- Linha 4250: Todos os campos básicos são obrigatórios (Nome, Nascimento, Sexo, Raça, CPF).
- Linha 4261: Todos os campos básicos são obrigatórios (Nome, Nascimento, Sexo, Raça, CPF).
- Linha 4915: Todos os campos básicos são obrigatórios (Nome, Nascimento, Sexo, Raça, CPF).
- Linha 4926: Todos os campos básicos são obrigatórios (Nome, Nascimento, Sexo, Raça, CPF).
- Linha 4930: Todos os campos básicos são obrigatórios (Nome, Nascimento, Sexo, Raça, CPF).
- Linha 4967: Todos os campos básicos são obrigatórios (Nome, Nascimento, Sexo, Raça, CPF).
- Linha 4968: Todos os campos básicos são obrigatórios (Nome, Nascimento, Sexo, Raça, CPF).
- Linha 4972: Todos os campos básicos são obrigatórios (Nome, Nascimento, Sexo, Raça, CPF).
- Linha 4975: Todos os campos básicos são obrigatórios (Nome, Nascimento, Sexo, Raça, CPF).
- Linha 4985: Todos os campos básicos são obrigatórios (Nome, Nascimento, Sexo, Raça, CPF).
- Linha 5011: Todos os campos básicos são obrigatórios (Nome, Nascimento, Sexo, Raça, CPF).
- Linha 5694: Todos os campos básicos são obrigatórios (Nome, Nascimento, Sexo, Raça, CPF).
- Linha 10483: Todos os campos básicos são obrigatórios (Nome, Nascimento, Sexo, Raça, CPF).
- Linha 10491: Todos os campos básicos são obrigatórios (Nome, Nascimento, Sexo, Raça, CPF).
- Linha 10852: Turma não encontrada na unidade (82.01/EF.MAT-ANL - COLÉGIO ESTADUAL 1º DE JUNHO).
- Linha 10853: Turma não encontrada na unidade (82.01/EF.MAT-ANL - COLÉGIO ESTADUAL 1º DE JUNHO).
- Linha 10854: Turma não encontrada na unidade (82.01/EF.MAT-ANL - COLÉGIO ESTADUAL 1º DE JUNHO).
- Linha 10855: Turma não encontrada na unidade (82.01/EF.MAT-ANL - COLÉGIO ESTADUAL 1º DE JUNHO).
- Linha 10856: Turma não encontrada na unidade (82.01/EF.MAT-ANL - COLÉGIO ESTADUAL 1º DE JUNHO).
- Linha 10857: Turma não encontrada na unidade (82.01/EF.MAT-ANL - COLÉGIO ESTADUAL 1º DE JUNHO).
- Linha 10858: Turma não encontrada na unidade (82.01/EF.MAT-ANL - COLÉGIO ESTADUAL 1º DE JUNHO).
- Linha 10859: Turma não encontrada na unidade (82.01/EF.MAT-ANL - COLÉGIO ESTADUAL 1º DE JUNHO).
- Linha 10860: Turma não encontrada na unidade (82.01/EF.MAT-ANL - COLÉGIO ESTADUAL 1º DE JUNHO).
- Linha 10861: Turma não encontrada na unidade (82.01/EF.MAT-ANL - COLÉGIO ESTADUAL 1º DE JUNHO).
- Linha 10862: Turma não encontrada na unidade (82.01/EF.MAT-ANL - COLÉGIO ESTADUAL 1º DE JUNHO).
- Linha 10863: Turma não encontrada na unidade (82.01/EF.MAT-ANL - COLÉGIO ESTADUAL 1º DE JUNHO).
- Linha 10864: Turma não encontrada na unidade (82.01/EF.MAT-ANL - COLÉGIO ESTADUAL 1º DE JUNHO).
- Linha 10865: Turma não encontrada na unidade (82.01/EF.MAT-ANL - COLÉGIO ESTADUAL 1º DE JUNHO).
- Linha 10866: Turma não encontrada na unidade (82.01/EF.MAT-ANL - COLÉGIO ESTADUAL 1º DE JUNHO).
- Linha 10867: Turma não encontrada na unidade (82.01/EF.MAT-ANL - COLÉGIO ESTADUAL 1º DE JUNHO).
- Linha 10868: Turma não encontrada na unidade (82.01/EF.MAT-ANL - COLÉGIO ESTADUAL 1º DE JUNHO).
- Linha 10869: Turma não encontrada na unidade (82.01/EF.MAT-ANL - COLÉGIO ESTADUAL 1º DE JUNHO).
- Linha 10870: Turma não encontrada na unidade (82.01/EF.MAT-ANL - COLÉGIO ESTADUAL 1º DE JUNHO).
- Linha 10871: Turma não encontrada na unidade (82.01/EF.MAT-ANL - COLÉGIO ESTADUAL 1º DE JUNHO).
- Linha 10872: Turma não encontrada na unidade (82.02/EF.VESP-ANL - COLÉGIO ESTADUAL 1º DE JUNHO).
- Linha 10873: Turma não encontrada na unidade (82.02/EF.VESP-ANL - COLÉGIO ESTADUAL 1º DE JUNHO).
- Linha 10874: Turma não encontrada na unidade (82.02/EF.VESP-ANL - COLÉGIO ESTADUAL 1º DE JUNHO).
- Linha 10875: Turma não encontrada na unidade (82.02/EF.VESP-ANL - COLÉGIO ESTADUAL 1º DE JUNHO).
- Linha 10876: Turma não encontrada na unidade (82.02/EF.VESP-ANL - COLÉGIO ESTADUAL 1º DE JUNHO).
- Linha 10877: Turma não encontrada na unidade (82.02/EF.VESP-ANL - COLÉGIO ESTADUAL 1º DE JUNHO).
- Linha 10878: Turma não encontrada na unidade (82.02/EF.VESP-ANL - COLÉGIO ESTADUAL 1º DE JUNHO).
- Linha 10879: Turma não encontrada na unidade (82.02/EF.VESP-ANL - COLÉGIO ESTADUAL 1º DE JUNHO).
- Linha 10880: Turma não encontrada na unidade (82.02/EF.VESP-ANL - COLÉGIO ESTADUAL 1º DE JUNHO).
- Linha 10881: Turma não encontrada na unidade (82.02/EF.VESP-ANL - COLÉGIO ESTADUAL 1º DE JUNHO).
- Linha 10882: Turma não encontrada na unidade (82.02/EF.VESP-ANL - COLÉGIO ESTADUAL 1º DE JUNHO).
- Linha 10883: Turma não encontrada na unidade (82.02/EF.VESP-ANL - COLÉGIO ESTADUAL 1º DE JUNHO).
- Linha 10884: Turma não encontrada na unidade (82.02/EF.VESP-ANL - COLÉGIO ESTADUAL 1º DE JUNHO).
- Linha 10885: Turma não encontrada na unidade (82.02/EF.VESP-ANL - COLÉGIO ESTADUAL 1º DE JUNHO).
- Linha 10886: Turma não encontrada na unidade (82.02/EF.VESP-ANL - COLÉGIO ESTADUAL 1º DE JUNHO).
- Linha 10887: Turma não encontrada na unidade (82.02/EF.VESP-ANL - COLÉGIO ESTADUAL 1º DE JUNHO).
- Linha 10888: Turma não encontrada na unidade (82.02/EF.VESP-ANL - COLÉGIO ESTADUAL 1º DE JUNHO).
- Linha 10889: Turma não encontrada na unidade (82.02/EF.VESP-ANL - COLÉGIO ESTADUAL 1º DE JUNHO).
- Linha 10890: Turma não encontrada na unidade (82.02/EF.VESP-ANL - COLÉGIO ESTADUAL 1º DE JUNHO).
- Linha 10891: Turma não encontrada na unidade (82.02/EF.VESP-ANL - COLÉGIO ESTADUAL 1º DE JUNHO).
- Linha 10892: Turma não encontrada na unidade (82.02/EF.VESP-ANL - COLÉGIO ESTADUAL 1º DE JUNHO).
- Linha 10893: Turma não encontrada na unidade (82.02/EF.VESP-ANL - COLÉGIO ESTADUAL 1º DE JUNHO).
